slide_name,permissible_angle,slide_width_um,scanner_name,time_stamp,slide_id,load_identifier,x_offset_um,y_offset_um,row_index,col_index,row_col
H01CBA02P_95240,4.532389727,25309.2,H01CBA02P,2021-04-11T06:43:34,95240,CS002-1-1618118000086,,,1,20,"1,20"
H01CBA05P_95363,6.924947281,24882,H01CBA05P,2021-04-11T06:44:12,95363,CS002-2-1618118012311,,,1,23,"1,23"
H01CBA02P_95241,4.539453319,25269.9,H01CBA02P,2021-04-11T06:44:50,95241,CS002-1-1618118000086,,,1,21,"1,21"
H01CBA06P_95110,3.979310711,25217.5,H01CBA06P,2021-04-11T06:45:29,95110,CS002-3-1618117995424,,,1,10,"1,10"
H01CBA02P_95242,4.462945532,25702.2,H01CBA02P,2021-04-11T06:46:09,95242,CS002-1-1618118000086,,,1,22,"1,22"
H01CBA06P_95111,3.949116405,25410,H01CBA06P,2021-04-11T06:46:48,95111,CS002-3-1618117995424,,,1,11,"1,11"
H01CBA02P_95243,4.546538986,25230.6,H01CBA02P,2021-04-11T06:47:28,95243,CS002-1-1618118000086,,,1,23,"1,23"
H01CBA06P_95112,3.967177707,25294.5,H01CBA06P,2021-04-11T06:48:07,95112,CS002-3-1618117995424,,,1,12,"1,12"
H01CBA05P_95364,4.49734629,25506,H01CBA05P,2021-04-11T06:48:45,95364,CS002-2-1618118012311,,,1,24,"1,24"
H01CBA02P_95245,4.449311532,25780.8,H01CBA02P,2021-04-11T06:49:48,95245,CS002-1-1618118000086,,,1,25,"1,25"
H01CBA02P_95247,4.462945532,25702.2,H01CBA02P,2021-04-11T06:51:01,95247,CS002-1-1618118000086,,,1,27,"1,27"
H01CBA05P_95365,4.539075318,25272,H01CBA05P,2021-04-11T06:51:38,95365,CS002-2-1618118012311,,,1,25,"1,25"
H01CBA02P_95248,4.504354051,25466.4,H01CBA02P,2021-04-11T06:52:16,95248,CS002-1-1618118000086,,,1,28,"1,28"
H01CBA02P_95250,4.504354051,25466.4,H01CBA02P,2021-04-11T06:53:27,95250,CS002-1-1618118000086,,,2,0,"2,0"
H01CBA06P_95113,3.973234939,25256,H01CBA06P,2021-04-11T06:54:07,95113,CS002-3-1618117995424,,,1,13,"1,13"
H01CBA05P_95366,4.49734629,25506,H01CBA05P,2021-04-11T06:54:45,95366,CS002-2-1618118012311,,,1,26,"1,26"
H01CBA02P_95252,4.532389727,25309.2,H01CBA02P,2021-04-11T06:55:48,95252,CS002-1-1618118000086,,,2,2,"2,2"
H01CBA05P_95367,4.456378298,25740,H01CBA05P,2021-04-11T06:56:25,95367,CS002-2-1618118012311,,,1,27,"1,27"
H01CBA02P_95255,4.546538986,25230.6,H01CBA02P,2021-04-11T06:57:53,95255,CS002-1-1618118000086,,,2,5,"2,5"
H01CBA05P_95368,4.525079776,25350,H01CBA05P,2021-04-11T06:58:30,95368,CS002-2-1618118012311,,,1,28,"1,28"
H01CBA06P_95114,3.96113893,25333,H01CBA06P,2021-04-11T06:59:09,95114,CS002-3-1618117995424,,,1,14,"1,14"
H01CBA02P_95257,4.518328355,25387.8,H01CBA02P,2021-04-11T07:00:13,95257,CS002-1-1618118000086,,,2,7,"2,7"
H01CBA05P_95369,4.511170365,25428,H01CBA05P,2021-04-11T07:00:51,95369,CS002-2-1618118012311,,,1,29,"1,29"
